Border,Date,Measure,Value,Average
US-Canada Border,10/01/2002 12:00:00 AM,Buses,13869,14536
US-Canada Border,10/01/2002 12:00:00 AM,Trains,2892,2773
US-Mexico Border,10/01/2002 12:00:00 AM,Train Passengers,1256,1242
US-Mexico Border,10/01/2002 12:00:00 AM,Trains,701,584
US-Mexico Border,09/01/2002 12:00:00 AM,Personal Vehicle Passengers,16246655,17934296
US-Mexico Border,09/01/2002 12:00:00 AM,Personal Vehicles,7480380,6960341
US-Canada Border,09/01/2002 12:00:00 AM,Personal Vehicle Passengers,5983970,7300906
US-Mexico Border,09/01/2002 12:00:00 AM,Pedestrians,3843959,3778776
US-Canada Border,09/01/2002 12:00:00 AM,Personal Vehicles,2893435,3071129
US-Canada Border,09/01/2002 12:00:00 AM,Trucks,587262,534774
US-Canada Border,09/01/2002 12:00:00 AM,Truck Containers Full,492669,346658
US-Canada Border,09/01/2002 12:00:00 AM,Bus Passengers,463219,356125
US-Mexico Border,09/01/2002 12:00:00 AM,Trucks,349746,338389
US-Mexico Border,09/01/2002 12:00:00 AM,Bus Passengers,274867,265040
US-Mexico Border,09/01/2002 12:00:00 AM,Truck Containers Full,196385,177115
US-Mexico Border,09/01/2002 12:00:00 AM,Truck Containers Empty,146454,145532
US-Canada Border,09/01/2002 12:00:00 AM,Pedestrians,143485,55617
US-Canada Border,09/01/2002 12:00:00 AM,Rail Containers Full,120156,78681
US-Canada Border,09/01/2002 12:00:00 AM,Truck Containers Empty,86248,58975
US-Canada Border,09/01/2002 12:00:00 AM,Rail Containers Empty,36743,25742
US-Mexico Border,09/01/2002 12:00:00 AM,Rail Containers Empty,25846,20596
US-Mexico Border,09/01/2002 12:00:00 AM,Buses,24380,20762
US-Mexico Border,09/01/2002 12:00:00 AM,Rail Containers Full,22884,17635
US-Canada Border,09/01/2002 12:00:00 AM,Train Passengers,21067,20882
US-Canada Border,09/01/2002 12:00:00 AM,Buses,16899,14506
US-Canada Border,09/01/2002 12:00:00 AM,Trains,2894,2771
US-Mexico Border,09/01/2002 12:00:00 AM,Train Passengers,1102,1243
US-Mexico Border,09/01/2002 12:00:00 AM,Trains,621,584
US-Mexico Border,08/01/2002 12:00:00 AM,Personal Vehicle Passengers,17609708,17938405
US-Canada Border,08/01/2002 12:00:00 AM,Personal Vehicle Passengers,8555222,7285028
US-Mexico Border,08/01/2002 12:00:00 AM,Personal Vehicles,7530205,6953128
US-Mexico Border,08/01/2002 12:00:00 AM,Pedestrians,4212214,3773289
US-Canada Border,08/01/2002 12:00:00 AM,Personal Vehicles,3730112,3062787
US-Canada Border,08/01/2002 12:00:00 AM,Trucks,596692,533990
US-Canada Border,08/01/2002 12:00:00 AM,Truck Containers Full,503143,344677
US-Canada Border,08/01/2002 12:00:00 AM,Bus Passengers,500091,354303
US-Mexico Border,08/01/2002 12:00:00 AM,Trucks,381991,337837
US-Mexico Border,08/01/2002 12:00:00 AM,Bus Passengers,346331,264011
US-Mexico Border,08/01/2002 12:00:00 AM,Truck Containers Full,216734,176613
US-Canada Border,08/01/2002 12:00:00 AM,Pedestrians,187334,53950
US-Mexico Border,08/01/2002 12:00:00 AM,Truck Containers Empty,165721,145276
US-Canada Border,08/01/2002 12:00:00 AM,Rail Containers Full,115856,78210
US-Canada Border,08/01/2002 12:00:00 AM,Truck Containers Empty,86450,58628
US-Canada Border,08/01/2002 12:00:00 AM,Train Passengers,40161,20638
US-Canada Border,08/01/2002 12:00:00 AM,Rail Containers Empty,35626,25617
US-Mexico Border,08/01/2002 12:00:00 AM,Buses,26611,20688
US-Mexico Border,08/01/2002 12:00:00 AM,Rail Containers Empty,26217,20525
US-Mexico Border,08/01/2002 12:00:00 AM,Rail Containers Full,23841,17557
US-Canada Border,08/01/2002 12:00:00 AM,Buses,18421,14457
US-Canada Border,08/01/2002 12:00:00 AM,Trains,2846,2770
US-Mexico Border,08/01/2002 12:00:00 AM,Train Passengers,1185,1244
US-Mexico Border,08/01/2002 12:00:00 AM,Trains,657,583
US-Mexico Border,07/01/2002 12:00:00 AM,Personal Vehicle Passengers,17445601,17944723
US-Canada Border,07/01/2002 12:00:00 AM,Personal Vehicle Passengers,7927765,7276788
US-Mexico Border,07/01/2002 12:00:00 AM,Personal Vehicles,7715526,6943353
US-Mexico Border,07/01/2002 12:00:00 AM,Pedestrians,4251413,3767159
US-Canada Border,07/01/2002 12:00:00 AM,Personal Vehicles,3443703,3057904
US-Canada Border,07/01/2002 12:00:00 AM,Trucks,552454,533753
US-Canada Border,07/01/2002 12:00:00 AM,Bus Passengers,515712,352233
US-Canada Border,07/01/2002 12:00:00 AM,Truck Containers Full,466048,343121
US-Mexico Border,07/01/2002 12:00:00 AM,Bus Passengers,400958,262255
US-Mexico Border,07/01/2002 12:00:00 AM,Trucks,375233,337358
US-Canada Border,07/01/2002 12:00:00 AM,Pedestrians,215313,51881
US-Mexico Border,07/01/2002 12:00:00 AM,Truck Containers Full,205279,176246
US-Mexico Border,07/01/2002 12:00:00 AM,Truck Containers Empty,166593,145003
US-Canada Border,07/01/2002 12:00:00 AM,Rail Containers Full,104621,77872
US-Canada Border,07/01/2002 12:00:00 AM,Truck Containers Empty,79965,58354
US-Canada Border,07/01/2002 12:00:00 AM,Rail Containers Empty,38281,25455
US-Canada Border,07/01/2002 12:00:00 AM,Train Passengers,37082,20427
US-Mexico Border,07/01/2002 12:00:00 AM,Buses,26937,20608
US-Mexico Border,07/01/2002 12:00:00 AM,Rail Containers Empty,26717,20445
US-Mexico Border,07/01/2002 12:00:00 AM,Rail Containers Full,23167,17485
US-Canada Border,07/01/2002 12:00:00 AM,Buses,19998,14386
US-Canada Border,07/01/2002 12:00:00 AM,Trains,2787,2770
US-Mexico Border,07/01/2002 12:00:00 AM,Train Passengers,1204,1245
US-Mexico Border,07/01/2002 12:00:00 AM,Trains,644,582
US-Mexico Border,06/01/2002 12:00:00 AM,Personal Vehicle Passengers,16477289,17963780
US-Mexico Border,06/01/2002 12:00:00 AM,Personal Vehicles,7405296,6937354
US-Canada Border,06/01/2002 12:00:00 AM,Personal Vehicle Passengers,6293288,7289561
US-Mexico Border,06/01/2002 12:00:00 AM,Pedestrians,4001029,3764122
US-Canada Border,06/01/2002 12:00:00 AM,Personal Vehicles,2930569,3059557
US-Canada Border,06/01/2002 12:00:00 AM,Trucks,577980,533179
US-Canada Border,06/01/2002 12:00:00 AM,Truck Containers Full,487862,341241
US-Canada Border,06/01/2002 12:00:00 AM,Bus Passengers,428995,351236
US-Mexico Border,06/01/2002 12:00:00 AM,Trucks,359260,337073
US-Mexico Border,06/01/2002 12:00:00 AM,Bus Passengers,321438,261486
US-Mexico Border,06/01/2002 12:00:00 AM,Truck Containers Full,209951,175808
US-Mexico Border,06/01/2002 12:00:00 AM,Truck Containers Empty,153194,144897
US-Canada Border,06/01/2002 12:00:00 AM,Rail Containers Full,110746,77445
US-Canada Border,06/01/2002 12:00:00 AM,Pedestrians,102602,51222
US-Canada Border,06/01/2002 12:00:00 AM,Truck Containers Empty,82224,58044
US-Canada Border,06/01/2002 12:00:00 AM,Rail Containers Empty,39241,25276
US-Canada Border,06/01/2002 12:00:00 AM,Train Passengers,29622,20307
US-Mexico Border,06/01/2002 12:00:00 AM,Rail Containers Empty,26554,20366
US-Mexico Border,06/01/2002 12:00:00 AM,Buses,24370,20559
US-Mexico Border,06/01/2002 12:00:00 AM,Rail Containers Full,23323,17409
US-Canada Border,06/01/2002 12:00:00 AM,Buses,16820,14354
US-Canada Border,06/01/2002 12:00:00 AM,Trains,2646,2772
US-Mexico Border,06/01/2002 12:00:00 AM,Train Passengers,1110,1246
US-Mexico Border,06/01/2002 12:00:00 AM,Trains,638,581
US-Mexico Border,05/01/2002 12:00:00 AM,Personal Vehicle Passengers,16756807,17979662
US-Mexico Border,05/01/2002 12:00:00 AM,Personal Vehicles,7620325,6928368
US-Canada Border,05/01/2002 12:00:00 AM,Personal Vehicle Passengers,5755071,7309752
US-Mexico Border,05/01/2002 12:00:00 AM,Pedestrians,4205787,3758311
US-Canada Border,05/01/2002 12:00:00 AM,Personal Vehicles,2789486,3063111
US-Canada Border,05/01/2002 12:00:00 AM,Trucks,623411,531991
US-Canada Border,05/01/2002 12:00:00 AM,Truck Containers Full,528963,338771
US-Canada Border,05/01/2002 12:00:00 AM,Bus Passengers,407117,350501
US-Mexico Border,05/01/2002 12:00:00 AM,Trucks,387629,336408
US-Mexico Border,05/01/2002 12:00:00 AM,Bus Passengers,319385,260725
US-Mexico Border,05/01/2002 12:00:00 AM,Truck Containers Full,230731,175085
US-Mexico Border,05/01/2002 12:00:00 AM,Truck Containers Empty,164544,144638
US-Canada Border,05/01/2002 12:00:00 AM,Rail Containers Full,118070,76910
US-Canada Border,05/01/2002 12:00:00 AM,Pedestrians,96133,50631
US-Canada Border,05/01/2002 12:00:00 AM,Truck Containers Empty,93073,57583
US-Canada Border,05/01/2002 12:00:00 AM,Rail Containers Empty,37532,25114
US-Mexico Border,05/01/2002 12:00:00 AM,Rail Containers Empty,28390,20260
US-Mexico Border,05/01/2002 12:00:00 AM,Buses,25294,20497
US-Mexico Border,05/01/2002 12:00:00 AM,Rail Containers Full,23270,17332
US-Canada Border,05/01/2002 12:00:00 AM,Train Passengers,20474,20305
US-Canada Border,05/01/2002 12:00:00 AM,Buses,15513,14339
US-Canada Border,05/01/2002 12:00:00 AM,Trains,2843,2771
US-Mexico Border,05/01/2002 12:00:00 AM,Train Passengers,1176,1247
US-Mexico Border,05/01/2002 12:00:00 AM,Trains,682,580
US-Mexico Border,04/01/2002 12:00:00 AM,Personal Vehicle Passengers,15889321,18007533
US-Mexico Border,04/01/2002 12:00:00 AM,Personal Vehicles,7353299,6922702
US-Canada Border,04/01/2002 12:00:00 AM,Personal Vehicle Passengers,5192627,7337980
US-Mexico Border,04/01/2002 12:00:00 AM,Pedestrians,4016282,3754871
US-Canada Border,04/01/2002 12:00:00 AM,Personal Vehicles,2510446,3070480
US-Canada Border,04/01/2002 12:00:00 AM,Trucks,603586,531037
US-Canada Border,04/01/2002 12:00:00 AM,Truck Containers Full,516985,336395
US-Mexico Border,04/01/2002 12:00:00 AM,Trucks,394378,335635
US-Mexico Border,04/01/2002 12:00:00 AM,Bus Passengers,329235,259811
US-Canada Border,04/01/2002 12:00:00 AM,Bus Passengers,289209,351318
US-Mexico Border,04/01/2002 12:00:00 AM,Truck Containers Full,224673,174424
US-Mexico Border,04/01/2002 12:00:00 AM,Truck Containers Empty,178256,144190
US-Canada Border,04/01/2002 12:00:00 AM,Rail Containers Full,118051,76362
US-Canada Border,04/01/2002 12:00:00 AM,Truck Containers Empty,83935,57232
US-Canada Border,04/01/2002 12:00:00 AM,Pedestrians,76298,50289
US-Canada Border,04/01/2002 12:00:00 AM,Rail Containers Empty,36650,24961
US-Mexico Border,04/01/2002 12:00:00 AM,Rail Containers Empty,29881,20132
US-Mexico Border,04/01/2002 12:00:00 AM,Buses,25206,20434
US-Mexico Border,04/01/2002 12:00:00 AM,Rail Containers Full,22324,17265
US-Canada Border,04/01/2002 12:00:00 AM,Train Passengers,17098,20348
US-Canada Border,04/01/2002 12:00:00 AM,Buses,11094,14382
US-Canada Border,04/01/2002 12:00:00 AM,Trains,2795,2770
US-Mexico Border,04/01/2002 12:00:00 AM,Train Passengers,1134,1249
US-Mexico Border,04/01/2002 12:00:00 AM,Trains,648,579
US-Mexico Border,03/01/2002 12:00:00 AM,Personal Vehicle Passengers,16891772,18022611
US-Mexico Border,03/01/2002 12:00:00 AM,Personal Vehicles,7549029,6914238
US-Canada Border,03/01/2002 12:00:00 AM,Personal Vehicle Passengers,5377216,7364477
US-Mexico Border,03/01/2002 12:00:00 AM,Pedestrians,4487679,3744968
US-Canada Border,03/01/2002 12:00:00 AM,Personal Vehicles,2487140,3078363
US-Canada Border,03/01/2002 12:00:00 AM,Trucks,568295,530533
US-Canada Border,03/01/2002 12:00:00 AM,Truck Containers Full,478046,334481
US-Mexico Border,03/01/2002 12:00:00 AM,Trucks,378634,335054
US-Mexico Border,03/01/2002 12:00:00 AM,Bus Passengers,371230,258305
US-Canada Border,03/01/2002 12:00:00 AM,Bus Passengers,260412,352547
US-Mexico Border,03/01/2002 12:00:00 AM,Truck Containers Full,215011,173875
US-Mexico Border,03/01/2002 12:00:00 AM,Truck Containers Empty,163988,143922
US-Canada Border,03/01/2002 12:00:00 AM,Rail Containers Full,124671,75709
US-Canada Border,03/01/2002 12:00:00 AM,Truck Containers Empty,85994,56843
US-Canada Border,03/01/2002 12:00:00 AM,Pedestrians,36395,50477
US-Canada Border,03/01/2002 12:00:00 AM,Rail Containers Empty,36373,24806
US-Mexico Border,03/01/2002 12:00:00 AM,Rail Containers Empty,30957,19986
US-Mexico Border,03/01/2002 12:00:00 AM,Buses,25760,20362
US-Mexico Border,03/01/2002 12:00:00 AM,Rail Containers Full,23691,17178
US-Canada Border,03/01/2002 12:00:00 AM,Train Passengers,16788,20396
US-Canada Border,03/01/2002 12:00:00 AM,Buses,10375,14436
US-Canada Border,03/01/2002 12:00:00 AM,Trains,2786,2770
US-Mexico Border,03/01/2002 12:00:00 AM,Train Passengers,1696,1243
US-Mexico Border,03/01/2002 12:00:00 AM,Trains,646,578
US-Mexico Border,02/01/2002 12:00:00 AM,Personal Vehicle Passengers,15171517,18061667
US-Mexico Border,02/01/2002 12:00:00 AM,Personal Vehicles,6819908,6915530
US-Canada Border,02/01/2002 12:00:00 AM,Personal Vehicle Passengers,4269974,7406867
US-Mexico Border,02/01/2002 12:00:00 AM,Pedestrians,3812298,3744046
US-Canada Border,02/01/2002 12:00:00 AM,Personal Vehicles,2111234,3091611
US-Canada Border,02/01/2002 12:00:00 AM,Trucks,535575,530464
US-Canada Border,02/01/2002 12:00:00 AM,Truck Containers Full,443742,332984
US-Mexico Border,02/01/2002 12:00:00 AM,Trucks,351653,334827
US-Mexico Border,02/01/2002 12:00:00 AM,Bus Passengers,256992,258323
US-Canada Border,02/01/2002 12:00:00 AM,Bus Passengers,207948,354528
US-Mexico Border,02/01/2002 12:00:00 AM,Truck Containers Full,199816,173520
US-Mexico Border,02/01/2002 12:00:00 AM,Truck Containers Empty,154529,143777
US-Canada Border,02/01/2002 12:00:00 AM,Rail Containers Full,108409,75261
US-Canada Border,02/01/2002 12:00:00 AM,Truck Containers Empty,76207,56578
US-Canada Border,02/01/2002 12:00:00 AM,Rail Containers Empty,33117,24692
US-Canada Border,02/01/2002 12:00:00 AM,Pedestrians,28974,50771
US-Mexico Border,02/01/2002 12:00:00 AM,Buses,27005,20271
US-Mexico Border,02/01/2002 12:00:00 AM,Rail Containers Empty,24802,19920
US-Mexico Border,02/01/2002 12:00:00 AM,Rail Containers Full,19489,17147
US-Canada Border,02/01/2002 12:00:00 AM,Train Passengers,13536,20490
US-Canada Border,02/01/2002 12:00:00 AM,Buses,8178,14522
US-Canada Border,02/01/2002 12:00:00 AM,Trains,2531,2773
US-Mexico Border,02/01/2002 12:00:00 AM,Train Passengers,1404,1241
US-Mexico Border,02/01/2002 12:00:00 AM,Trains,614,577
US-Mexico Border,01/01/2002 12:00:00 AM,Personal Vehicle Passengers,16188787,18087679
US-Mexico Border,01/01/2002 12:00:00 AM,Personal Vehicles,7212604,6911404
US-Canada Border,01/01/2002 12:00:00 AM,Personal Vehicle Passengers,4313105,7449836
US-Mexico Border,01/01/2002 12:00:00 AM,Pedestrians,4028890,3740090
US-Canada Border,01/01/2002 12:00:00 AM,Personal Vehicles,2166570,3104459
US-Canada Border,01/01/2002 12:00:00 AM,Trucks,552363,530160
US-Canada Border,01/01/2002 12:00:00 AM,Truck Containers Full,452066,331330
US-Mexico Border,01/01/2002 12:00:00 AM,Trucks,362764,334439
US-Mexico Border,01/01/2002 12:00:00 AM,Bus Passengers,311569,257584
US-Canada Border,01/01/2002 12:00:00 AM,Bus Passengers,219627,356401
US-Mexico Border,01/01/2002 12:00:00 AM,Truck Containers Full,197709,173184
US-Mexico Border,01/01/2002 12:00:00 AM,Truck Containers Empty,163305,143506
US-Canada Border,01/01/2002 12:00:00 AM,Rail Containers Full,98611,74937
US-Canada Border,01/01/2002 12:00:00 AM,Truck Containers Empty,84591,56189
US-Canada Border,01/01/2002 12:00:00 AM,Rail Containers Empty,31860,24593
US-Mexico Border,01/01/2002 12:00:00 AM,Rail Containers Empty,27657,19812
US-Mexico Border,01/01/2002 12:00:00 AM,Buses,24248,20216
US-Canada Border,01/01/2002 12:00:00 AM,Pedestrians,22021,51171
US-Mexico Border,01/01/2002 12:00:00 AM,Rail Containers Full,19056,17120
US-Canada Border,01/01/2002 12:00:00 AM,Train Passengers,14764,20569
US-Canada Border,01/01/2002 12:00:00 AM,Buses,8758,14602
US-Canada Border,01/01/2002 12:00:00 AM,Trains,2710,2774
US-Mexico Border,01/01/2002 12:00:00 AM,Train Passengers,1733,1234
US-Mexico Border,01/01/2002 12:00:00 AM,Trains,650,576
US-Mexico Border,12/01/2001 12:00:00 AM,Personal Vehicle Passengers,17439036,18096815
US-Mexico Border,12/01/2001 12:00:00 AM,Personal Vehicles,7243488,6906727
US-Mexico Border,12/01/2001 12:00:00 AM,Pedestrians,4571754,3728376
US-Canada Border,12/01/2001 12:00:00 AM,Personal Vehicle Passengers,4452131,7492057
US-Canada Border,12/01/2001 12:00:00 AM,Personal Vehicles,2172450,3117586
US-Canada Border,12/01/2001 12:00:00 AM,Trucks,455087,531217
US-Canada Border,12/01/2001 12:00:00 AM,Truck Containers Full,375793,330704
US-Mexico Border,12/01/2001 12:00:00 AM,Trucks,321961,334614
US-Mexico Border,12/01/2001 12:00:00 AM,Bus Passengers,315391,256770
US-Canada Border,12/01/2001 12:00:00 AM,Bus Passengers,210570,358455
US-Mexico Border,12/01/2001 12:00:00 AM,Truck Containers Full,169523,173236
US-Mexico Border,12/01/2001 12:00:00 AM,Truck Containers Empty,151569,143392
US-Canada Border,12/01/2001 12:00:00 AM,Rail Containers Full,96308,74636
US-Canada Border,12/01/2001 12:00:00 AM,Truck Containers Empty,69582,56000
US-Canada Border,12/01/2001 12:00:00 AM,Rail Containers Empty,32353,24484
US-Mexico Border,12/01/2001 12:00:00 AM,Rail Containers Empty,29778,19672
US-Canada Border,12/01/2001 12:00:00 AM,Pedestrians,27496,51504
US-Mexico Border,12/01/2001 12:00:00 AM,Buses,24260,20159
US-Mexico Border,12/01/2001 12:00:00 AM,Rail Containers Full,18543,17100
US-Canada Border,12/01/2001 12:00:00 AM,Train Passengers,16842,20622
US-Canada Border,12/01/2001 12:00:00 AM,Buses,8381,14690
US-Canada Border,12/01/2001 12:00:00 AM,Trains,2585,2777
US-Mexico Border,12/01/2001 12:00:00 AM,Train Passengers,1180,1235
US-Mexico Border,12/01/2001 12:00:00 AM,Trains,574,576
US-Mexico Border,11/01/2001 12:00:00 AM,Personal Vehicle Passengers,14176337,18152822
US-Mexico Border,11/01/2001 12:00:00 AM,Personal Vehicles,6330089,6914965
US-Canada Border,11/01/2001 12:00:00 AM,Personal Vehicle Passengers,4396607,7536278
US-Mexico Border,11/01/2001 12:00:00 AM,Pedestrians,3872433,3726318
US-Canada Border,11/01/2001 12:00:00 AM,Personal Vehicles,2180452,3130973
US-Canada Border,11/01/2001 12:00:00 AM,Trucks,555441,530871
US-Canada Border,11/01/2001 12:00:00 AM,Truck Containers Full,456209,328911
US-Mexico Border,11/01/2001 12:00:00 AM,Trucks,356274,334305
US-Mexico Border,11/01/2001 12:00:00 AM,Bus Passengers,296713,256199
US-Canada Border,11/01/2001 12:00:00 AM,Bus Passengers,247938,360034
US-Mexico Border,11/01/2001 12:00:00 AM,Truck Containers Full,193731,172943
US-Mexico Border,11/01/2001 12:00:00 AM,Truck Containers Empty,158293,143179
US-Canada Border,11/01/2001 12:00:00 AM,Rail Containers Full,103307,74226
US-Canada Border,11/01/2001 12:00:00 AM,Truck Containers Empty,94778,55446
US-Canada Border,11/01/2001 12:00:00 AM,Pedestrians,40145,51667
US-Canada Border,11/01/2001 12:00:00 AM,Rail Containers Empty,35626,24324
US-Mexico Border,11/01/2001 12:00:00 AM,Rail Containers Empty,29964,19525
US-Mexico Border,11/01/2001 12:00:00 AM,Buses,23076,20117
US-Mexico Border,11/01/2001 12:00:00 AM,Rail Containers Full,21032,17044
US-Canada Border,11/01/2001 12:00:00 AM,Train Passengers,13703,20721
US-Canada Border,11/01/2001 12:00:00 AM,Buses,9873,14759
US-Canada Border,11/01/2001 12:00:00 AM,Trains,2780,2777
US-Mexico Border,11/01/2001 12:00:00 AM,Train Passengers,1521,1230
US-Mexico Border,11/01/2001 12:00:00 AM,Trains,638,576
US-Mexico Border,10/01/2001 12:00:00 AM,Personal Vehicle Passengers,12888484,18229116
US-Mexico Border,10/01/2001 12:00:00 AM,Personal Vehicles,6012965,6928037
US-Canada Border,10/01/2001 12:00:00 AM,Personal Vehicle Passengers,4595981,7578891
US-Mexico Border,10/01/2001 12:00:00 AM,Pedestrians,3985715,3722559
US-Canada Border,10/01/2001 12:00:00 AM,Personal Vehicles,2223417,3144126
US-Canada Border,10/01/2001 12:00:00 AM,Trucks,607236,529765
US-Canada Border,10/01/2001 12:00:00 AM,Truck Containers Full,498355,326455
US-Mexico Border,10/01/2001 12:00:00 AM,Trucks,385399,333565
US-Canada Border,10/01/2001 12:00:00 AM,Bus Passengers,318743,360632
US-Mexico Border,10/01/2001 12:00:00 AM,Bus Passengers,265901,256058
US-Mexico Border,10/01/2001 12:00:00 AM,Truck Containers Full,207446,172443
US-Mexico Border,10/01/2001 12:00:00 AM,Truck Containers Empty,176225,142700
US-Canada Border,10/01/2001 12:00:00 AM,Rail Containers Full,165265,72907
US-Canada Border,10/01/2001 12:00:00 AM,Truck Containers Empty,92545,54908
US-Canada Border,10/01/2001 12:00:00 AM,Pedestrians,72338,51367
US-Canada Border,10/01/2001 12:00:00 AM,Rail Containers Empty,51987,23924
US-Mexico Border,10/01/2001 12:00:00 AM,Rail Containers Empty,29003,19387
US-Mexico Border,10/01/2001 12:00:00 AM,Rail Containers Full,24685,16933
US-Mexico Border,10/01/2001 12:00:00 AM,Buses,23293,20071
US-Canada Border,10/01/2001 12:00:00 AM,Train Passengers,15087,20802
US-Canada Border,10/01/2001 12:00:00 AM,Buses,12497,14791
US-Canada Border,10/01/2001 12:00:00 AM,Trains,2860,2776
US-Mexico Border,10/01/2001 12:00:00 AM,Train Passengers,1617,1225
US-Mexico Border,10/01/2001 12:00:00 AM,Trains,665,574
US-Mexico Border,09/01/2001 12:00:00 AM,Personal Vehicle Passengers,13335293,18301084
US-Mexico Border,09/01/2001 12:00:00 AM,Personal Vehicles,6141497,6939604
US-Canada Border,09/01/2001 12:00:00 AM,Personal Vehicle Passengers,5667660,7606997
US-Mexico Border,09/01/2001 12:00:00 AM,Pedestrians,3827169,3721020
US-Canada Border,09/01/2001 12:00:00 AM,Personal Vehicles,2572008,3152540
US-Canada Border,09/01/2001 12:00:00 AM,Trucks,542154,529582
US-Canada Border,09/01/2001 12:00:00 AM,Truck Containers Full,433313,324884
US-Canada Border,09/01/2001 12:00:00 AM,Bus Passengers,408931,359922
US-Mexico Border,09/01/2001 12:00:00 AM,Trucks,333294,333568
US-Mexico Border,09/01/2001 12:00:00 AM,Bus Passengers,236654,256344
US-Mexico Border,09/01/2001 12:00:00 AM,Truck Containers Full,178611,172352
US-Mexico Border,09/01/2001 12:00:00 AM,Truck Containers Empty,154211,142531
US-Canada Border,09/01/2001 12:00:00 AM,Rail Containers Full,103044,72463
US-Canada Border,09/01/2001 12:00:00 AM,Truck Containers Empty,80054,54539
US-Canada Border,09/01/2001 12:00:00 AM,Pedestrians,59148,51252
US-Canada Border,09/01/2001 12:00:00 AM,Rail Containers Empty,36252,23742
US-Mexico Border,09/01/2001 12:00:00 AM,Rail Containers Empty,25932,19291
US-Mexico Border,09/01/2001 12:00:00 AM,Rail Containers Full,22973,16844
US-Canada Border,09/01/2001 12:00:00 AM,Train Passengers,22047,20784
US-Mexico Border,09/01/2001 12:00:00 AM,Buses,20891,20059
US-Canada Border,09/01/2001 12:00:00 AM,Buses,15102,14787
US-Canada Border,09/01/2001 12:00:00 AM,Trains,2661,2777
US-Mexico Border,09/01/2001 12:00:00 AM,Train Passengers,1417,1222
US-Mexico Border,09/01/2001 12:00:00 AM,Trains,618,574
US-Mexico Border,08/01/2001 12:00:00 AM,Personal Vehicle Passengers,18470854,18298551
US-Canada Border,08/01/2001 12:00:00 AM,Personal Vehicle Passengers,9693838,7575850
US-Mexico Border,08/01/2001 12:00:00 AM,Personal Vehicles,8267633,6919782
US-Canada Border,08/01/2001 12:00:00 AM,Personal Vehicles,4149900,3137654
US-Mexico Border,08/01/2001 12:00:00 AM,Pedestrians,4036788,3716307
US-Canada Border,08/01/2001 12:00:00 AM,Trucks,600506,528524
US-Canada Border,08/01/2001 12:00:00 AM,Bus Passengers,545938,357146
US-Canada Border,08/01/2001 12:00:00 AM,Truck Containers Full,514158,322059
US-Mexico Border,08/01/2001 12:00:00 AM,Trucks,374216,332962
US-Mexico Border,08/01/2001 12:00:00 AM,Bus Passengers,294352,255777
US-Mexico Border,08/01/2001 12:00:00 AM,Truck Containers Full,208586,171811
US-Mexico Border,08/01/2001 12:00:00 AM,Truck Containers Empty,175587,142038
US-Canada Border,08/01/2001 12:00:00 AM,Pedestrians,128442,50100
US-Canada Border,08/01/2001 12:00:00 AM,Rail Containers Full,92208,72169
US-Canada Border,08/01/2001 12:00:00 AM,Truck Containers Empty,90271,54005
US-Canada Border,08/01/2001 12:00:00 AM,Train Passengers,37486,20535
US-Canada Border,08/01/2001 12:00:00 AM,Rail Containers Empty,33508,23596
US-Mexico Border,08/01/2001 12:00:00 AM,Rail Containers Empty,26652,19181
US-Mexico Border,08/01/2001 12:00:00 AM,Buses,24879,19987
US-Mexico Border,08/01/2001 12:00:00 AM,Rail Containers Full,23309,16748
US-Canada Border,08/01/2001 12:00:00 AM,Buses,20058,14708
US-Canada Border,08/01/2001 12:00:00 AM,Trains,2846,2776
US-Mexico Border,08/01/2001 12:00:00 AM,Train Passengers,1752,1214
US-Mexico Border,08/01/2001 12:00:00 AM,Trains,639,573
US-Mexico Border,07/01/2001 12:00:00 AM,Personal Vehicle Passengers,18361146,18297602
US-Canada Border,07/01/2001 12:00:00 AM,Personal Vehicle Passengers,9449454,7547462
US-Mexico Border,07/01/2001 12:00:00 AM,Personal Vehicles,8106637,6901800
US-Mexico Border,07/01/2001 12:00:00 AM,Pedestrians,4563957,3703464
US-Canada Border,07/01/2001 12:00:00 AM,Personal Vehicles,4026527,3124186
US-Canada Border,07/01/2001 12:00:00 AM,Bus Passengers,532543,354488
US-Canada Border,07/01/2001 12:00:00 AM,Trucks,528769,528520
US-Canada Border,07/01/2001 12:00:00 AM,Truck Containers Full,457842,320001
US-Mexico Border,07/01/2001 12:00:00 AM,Trucks,342869,332812
US-Mexico Border,07/01/2001 12:00:00 AM,Bus Passengers,338325,254526
US-Mexico Border,07/01/2001 12:00:00 AM,Truck Containers Full,189826,171538
US-Mexico Border,07/01/2001 12:00:00 AM,Truck Containers Empty,160790,141754
US-Canada Border,07/01/2001 12:00:00 AM,Pedestrians,130757,48878
US-Canada Border,07/01/2001 12:00:00 AM,Rail Containers Full,96683,71797
US-Canada Border,07/01/2001 12:00:00 AM,Truck Containers Empty,79216,53623
US-Canada Border,07/01/2001 12:00:00 AM,Rail Containers Empty,37946,23379
US-Canada Border,07/01/2001 12:00:00 AM,Train Passengers,35420,20309
US-Mexico Border,07/01/2001 12:00:00 AM,Buses,25574,19902
US-Mexico Border,07/01/2001 12:00:00 AM,Rail Containers Full,22695,16658
US-Mexico Border,07/01/2001 12:00:00 AM,Rail Containers Empty,21475,19147
US-Canada Border,07/01/2001 12:00:00 AM,Buses,21189,14610
